index,section size,weight,A,d,bf,tw,tf,bf to tf ratio,h to tw ratio,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,rts
198,W14X193,193,56.8,15.5,15.7,0.89,1.44,5.45,12.8,2400,355,310,6.5,931,180,119,4.05,34.8,45900,4.59
199,W14X176,176,51.8,15.2,15.7,0.83,1.31,5.97,13.7,2140,320,281,6.43,838,163,107,4.02,26.5,40500,4.55
200,W14X159,159,46.7,15,15.6,0.745,1.19,6.54,15.3,1900,287,254,6.38,748,146,96.2,4,19.7,35600,4.51
201,W14X145,145,42.7,14.8,15.5,0.68,1.09,7.11,16.8,1710,260,232,6.33,677,133,87.3,3.98,15.2,31700,4.47
202,W14X132,132,38.8,14.7,14.7,0.645,1.03,7.15,17.7,1530,234,209,6.28,548,113,74.5,3.76,12.3,25500,4.23
203,W14X120,120,35.3,14.5,14.7,0.59,0.94,7.8,19.3,1380,212,190,6.24,495,102,67.5,3.74,9.37,22700,4.2
204,W14X109,109,32,14.3,14.6,0.525,0.86,8.49,21.7,1240,192,173,6.22,447,92.7,61.2,3.73,7.12,20200,4.17
205,W14X99,99,29.1,14.2,14.6,0.485,0.78,9.34,23.5,1110,173,157,6.17,402,83.6,55.2,3.71,5.37,18000,4.14
206,W14X90,90,26.5,14,14.5,0.44,0.71,10.2,25.9,999,157,143,6.14,362,75.6,49.9,3.7,4.06,16000,4.1
207,W14X82,82,24,14.3,10.1,0.51,0.855,5.92,22.4,881,139,123,6.05,148,44.8,29.3,2.48,5.07,6710,2.85
208,W14X74,74,21.8,14.2,10.1,0.45,0.785,6.41,25.4,795,126,112,6.04,134,40.5,26.6,2.48,3.87,5990,2.83
209,W14X68,68,20,14,10,0.415,0.72,6.97,27.5,722,115,103,6.01,121,36.9,24.2,2.46,3.01,5380,2.8
210,W14X61,61,17.9,13.9,10,0.375,0.645,7.75,30.4,640,102,92.1,5.98,107,32.8,21.5,2.45,2.19,4710,2.78
211,W14X53,53,15.6,13.9,8.06,0.37,0.66,6.11,30.9,541,87.1,77.8,5.89,57.7,22,14.3,1.92,1.94,2540,2.22
212,W14X48,48,14.1,13.8,8.03,0.34,0.595,6.75,33.6,484,78.4,70.2,5.85,51.4,19.6,12.8,1.91,1.45,2240,2.2
213,W14X43,43,12.6,13.7,8,0.305,0.53,7.54,37.4,428,69.6,62.6,5.82,45.2,17.3,11.3,1.89,1.05,1950,2.18
214,W14X38,38,11.2,14.1,6.77,0.31,0.515,6.57,39.6,385,61.5,54.6,5.87,26.7,12.1,7.88,1.55,0.798,1230,1.82
215,W14X34,34,10,14,6.75,0.285,0.455,7.41,43.1,340,54.6,48.6,5.83,23.3,10.6,6.91,1.53,0.569,1070,1.8
216,W14X30,30,8.85,13.8,6.73,0.27,0.385,8.74,45.4,291,47.3,42,5.73,19.6,8.99,5.82,1.49,0.38,887,1.77
217,W14X26,26,7.69,13.9,5.03,0.255,0.42,5.98,48.1,245,40.2,35.3,5.65,8.91,5.54,3.55,1.08,0.358,405,1.3
218,W14X22,22,6.49,13.7,5,0.23,0.335,7.46,53.3,199,33.2,29,5.54,7,4.39,2.8,1.04,0.208,314,1.27
219,W12X336,336,98.9,16.8,13.4,1.78,2.96,2.26,5.47,4060,603,483,6.41,1190,274,177,3.47,243,57000,4.13
220,W12X305,305,89.5,16.3,13.2,1.63,2.71,2.45,5.98,3550,537,435,6.29,1050,244,159,3.42,185,48600,4.05
221,W12X279,279,81.9,15.9,13.1,1.53,2.47,2.66,6.35,3110,481,393,6.16,937,220,143,3.38,143,42000,4
222,W12X252,252,74.1,15.4,13,1.4,2.25,2.89,6.96,2720,428,353,6.06,828,196,127,3.34,108,35800,3.93
223,W12X230,230,67.7,15.1,12.9,1.29,2.07,3.11,7.56,2420,386,321,5.97,742,177,115,3.31,83.8,31200,3.87
224,W12X210,210,61.8,14.7,12.8,1.18,1.9,3.37,8.23,2140,348,292,5.89,664,159,104,3.28,64.7,27200,3.81
225,W12X190,190,56,14.4,12.7,1.06,1.74,3.65,9.16,1890,311,263,5.82,589,143,93,3.25,48.8,23600,3.77
226,W12X170,170,50,14,12.6,0.96,1.56,4.03,10.1,1650,275,235,5.74,517,126,82.3,3.22,35.6,20100,3.7
227,W12X152,152,44.7,13.7,12.5,0.87,1.4,4.46,11.2,1430,243,209,5.66,454,111,72.8,3.19,25.8,17200,3.66
228,W12X136,136,39.9,13.4,12.4,0.79,1.25,4.96,12.3,1240,214,186,5.58,398,98,64.2,3.16,18.5,14700,3.61
229,W12X120,120,35.2,13.1,12.3,0.71,1.11,5.57,13.7,1070,186,163,5.51,345,85.4,56,3.13,12.9,12400,3.56
230,W12X106,106,31.2,12.9,12.2,0.61,0.99,6.17,15.9,933,164,145,5.47,301,75.1,49.3,3.11,9.13,10700,3.52
231,W12X96,96,28.2,12.7,12.2,0.55,0.9,6.76,17.7,833,147,131,5.44,270,67.5,44.4,3.09,6.85,9410,3.49
232,W12X87,87,25.6,12.5,12.1,0.515,0.81,7.48,18.9,740,132,118,5.38,241,60.4,39.7,3.07,5.1,8270,3.46
233,W12X79,79,23.2,12.4,12.1,0.47,0.735,8.22,20.7,662,119,107,5.34,216,54.3,35.8,3.05,3.84,7330,3.43
234,W12X72,72,21.1,12.3,12,0.43,0.67,8.99,22.6,597,108,97.4,5.31,195,49.2,32.4,3.04,2.93,6540,3.41
235,W12X65,65,19.1,12.1,12,0.39,0.605,9.92,24.9,533,96.8,87.9,5.28,174,44.1,29.1,3.02,2.18,5780,3.38
236,W12X58,58,17,12.2,10,0.36,0.64,7.82,27,475,86.4,78,5.28,107,32.5,21.4,2.51,2.1,3570,2.81
237,W12X53,53,15.6,12.1,10,0.345,0.575,8.69,28.1,425,77.9,70.6,5.23,95.8,29.1,19.2,2.48,1.58,3160,2.79
238,W12X50,50,14.6,12.2,8.08,0.37,0.64,6.31,26.8,391,71.9,64.2,5.18,56.3,21.3,13.9,1.96,1.71,1880,2.25
239,W12X45,45,13.1,12.1,8.05,0.335,0.575,7,29.6,348,64.2,57.7,5.15,50,19,12.4,1.95,1.26,1650,2.23
240,W12X40,40,11.7,11.9,8.01,0.295,0.515,7.77,33.6,307,57,51.5,5.13,44.1,16.8,11,1.94,0.906,1440,2.21
241,W12X35,35,10.3,12.5,6.56,0.3,0.52,6.31,36.2,285,51.2,45.6,5.25,24.5,11.5,7.47,1.54,0.741,879,1.79
242,W12X30,30,8.79,12.3,6.52,0.26,0.44,7.41,41.8,238,43.1,38.6,5.21,20.3,9.56,6.24,1.52,0.457,720,1.77
243,W12X26,26,7.65,12.2,6.49,0.23,0.38,8.54,47.2,204,37.2,33.4,5.17,17.3,8.17,5.34,1.51,0.3,607,1.75
244,W12X22,22,6.48,12.3,4.03,0.26,0.425,4.74,41.8,156,29.3,25.4,4.91,4.66,3.66,2.31,0.848,0.293,164,1.04
245,W12X19,19,5.57,12.2,4.01,0.235,0.35,5.72,46.2,130,24.7,21.3,4.82,3.76,2.98,1.88,0.822,0.18,131,1.02
246,W12X16,16,4.71,12,3.99,0.22,0.265,7.53,49.4,103,20.1,17.1,4.67,2.82,2.26,1.41,0.773,0.103,96.9,0.983
247,W12X14,14,4.16,11.9,3.97,0.2,0.225,8.82,54.3,88.6,17.4,14.9,4.62,2.36,1.9,1.19,0.753,0.0704,80.4,0.961
248,W10X112,112,32.9,11.4,10.4,0.755,1.25,4.17,10.4,716,147,126,4.66,236,69.2,45.3,2.68,15.1,6020,3.08
249,W10X100,100,29.3,11.1,10.3,0.68,1.12,4.62,11.6,623,130,112,4.6,207,61,40,2.65,10.9,5150,3.04
250,W10X88,88,26,10.8,10.3,0.605,0.99,5.18,13,534,113,98.5,4.54,179,53.1,34.8,2.63,7.53,4330,2.99
251,W10X77,77,22.7,10.6,10.2,0.53,0.87,5.86,14.8,455,97.6,85.9,4.49,154,45.9,30.1,2.6,5.11,3630,2.95
252,W10X68,68,19.9,10.4,10.1,0.47,0.77,6.58,16.7,394,85.3,75.7,4.44,134,40.1,26.4,2.59,3.56,3100,2.92
253,W10X60,60,17.7,10.2,10.1,0.42,0.68,7.41,18.7,341,74.6,66.7,4.39,116,35,23,2.57,2.48,2640,2.88
254,W10X54,54,15.8,10.1,10,0.37,0.615,8.15,21.2,303,66.6,60,4.37,103,31.3,20.6,2.56,1.82,2320,2.85
255,W10X49,49,14.4,10,10,0.34,0.56,8.93,23.1,272,60.4,54.6,4.35,93.4,28.3,18.7,2.54,1.39,2070,2.84
256,W10X45,45,13.3,10.1,8.02,0.35,0.62,6.47,22.5,248,54.9,49.1,4.32,53.4,20.3,13.3,2.01,1.51,1200,2.27
257,W10X39,39,11.5,9.92,7.99,0.315,0.53,7.53,25,209,46.8,42.1,4.27,45,17.2,11.3,1.98,0.976,992,2.24
258,W10X33,33,9.71,9.73,7.96,0.29,0.435,9.15,27.1,171,38.8,35,4.19,36.6,14,9.2,1.94,0.583,791,2.2
259,W10X30,30,8.84,10.5,5.81,0.3,0.51,5.7,29.5,170,36.6,32.4,4.38,16.7,8.84,5.75,1.37,0.622,414,1.6
260,W10X26,26,7.61,10.3,5.77,0.26,0.44,6.56,34,144,31.3,27.9,4.35,14.1,7.5,4.89,1.36,0.402,345,1.58
261,W10X22,22,6.49,10.2,5.75,0.24,0.36,7.99,36.9,118,26,23.2,4.27,11.4,6.1,3.97,1.33,0.239,275,1.55
262,W10X19,19,5.62,10.2,4.02,0.25,0.395,5.09,35.4,96.3,21.6,18.8,4.14,4.29,3.35,2.14,0.874,0.233,104,1.06
263,W10X17,17,4.99,10.1,4.01,0.24,0.33,6.08,36.9,81.9,18.7,16.2,4.05,3.56,2.8,1.78,0.845,0.156,85.1,1.04
264,W10X15,15,4.41,9.99,4,0.23,0.27,7.41,38.5,68.9,16,13.8,3.95,2.89,2.3,1.45,0.81,0.104,68.3,1.01
265,W10X12,12,3.54,9.87,3.96,0.19,0.21,9.43,46.6,53.8,12.6,10.9,3.9,2.18,1.74,1.1,0.785,0.0547,50.9,0.983
266,W8X67,67,19.7,9,8.28,0.57,0.935,4.43,11.1,272,70.1,60.4,3.72,88.6,32.7,21.4,2.12,5.05,1440,2.43
267,W8X58,58,17.1,8.75,8.22,0.51,0.81,5.07,12.4,228,59.8,52,3.65,75.1,27.9,18.3,2.1,3.33,1180,2.39
268,W8X48,48,14.1,8.5,8.11,0.4,0.685,5.92,15.9,184,49,43.2,3.61,60.9,22.9,15,2.08,1.96,931,2.35
269,W8X40,40,11.7,8.25,8.07,0.36,0.56,7.21,17.6,146,39.8,35.5,3.53,49.1,18.5,12.2,2.04,1.12,726,2.31
270,W8X35,35,10.3,8.12,8.02,0.31,0.495,8.1,20.5,127,34.7,31.2,3.51,42.6,16.1,10.6,2.03,0.769,619,2.28
271,W8X31,31,9.13,8,8,0.285,0.435,9.19,22.3,110,30.4,27.5,3.47,37.1,14.1,9.27,2.02,0.536,530,2.26
272,W8X28,28,8.25,8.06,6.54,0.285,0.465,7.03,22.3,98,27.2,24.3,3.45,21.7,10.1,6.63,1.62,0.537,312,1.84
273,W8X24,24,7.08,7.93,6.5,0.245,0.4,8.12,25.9,82.7,23.1,20.9,3.42,18.3,8.57,5.63,1.61,0.346,259,1.81
274,W8X21,21,6.16,8.28,5.27,0.25,0.4,6.59,27.5,75.3,20.4,18.2,3.49,9.77,5.69,3.71,1.26,0.282,152,1.46
275,W8X18,18,5.26,8.14,5.25,0.23,0.33,7.95,29.9,61.9,17,15.2,3.43,7.97,4.66,3.04,1.23,0.172,122,1.43
276,W8X15,15,4.44,8.11,4.02,0.245,0.315,6.37,28.1,48,13.6,11.8,3.29,3.41,2.67,1.7,0.876,0.137,51.8,1.06
277,W8X13,13,3.84,7.99,4,0.23,0.255,7.84,29.9,39.6,11.4,9.91,3.21,2.73,2.15,1.37,0.843,0.0871,40.8,1.03
278,W8X10,10,2.96,7.89,3.94,0.17,0.205,9.61,40.5,30.8,8.87,7.81,3.22,2.09,1.66,1.06,0.841,0.0426,30.9,1.01
279,W6X25,25,7.34,6.38,6.08,0.32,0.455,6.68,15.5,53.4,18.9,16.7,2.7,17.1,8.56,5.61,1.52,0.461,150,1.74
280,W6X20,20,5.87,6.2,6.02,0.26,0.365,8.25,19.1,41.4,14.9,13.4,2.66,13.3,6.72,4.41,1.5,0.24,113,1.7
281,W6X15,15,4.43,5.99,5.99,0.23,0.26,11.5,21.6,29.1,10.8,9.72,2.56,9.32,4.75,3.11,1.45,0.101,76.5,1.66
282,W6X16,16,4.74,6.28,4.03,0.26,0.405,4.98,19.1,32.1,11.7,10.2,2.6,4.43,3.39,2.2,0.967,0.223,38.2,1.13
283,W6X12,12,3.55,6.03,4,0.23,0.28,7.14,21.6,22.1,8.3,7.31,2.49,2.99,2.32,1.5,0.918,0.0903,24.7,1.08
284,W6X9,9,2.68,5.9,3.94,0.17,0.215,9.16,29.2,16.4,6.23,5.56,2.47,2.2,1.72,1.11,0.905,0.0405,17.7,1.06
285,W6X8.5,8.5,2.52,5.83,3.94,0.17,0.195,10.1,29.1,14.9,5.73,5.1,2.43,1.99,1.56,1.01,0.89,0.0333,15.8,1.05
286,W5X19,19,5.56,5.15,5.03,0.27,0.43,5.85,13.7,26.3,11.6,10.2,2.17,9.13,5.53,3.63,1.28,0.316,50.9,1.45
287,W5X16,16,4.71,5.01,5,0.24,0.36,6.94,15.4,21.4,9.63,8.55,2.13,7.51,4.58,3,1.26,0.192,40.6,1.43
288,W4X13,13,3.83,4.16,4.06,0.28,0.345,5.88,10.6,11.3,6.28,5.46,1.72,3.86,2.92,1.9,1,0.151,14,1.16
289,M12.5X12.4,12.4,3.63,12.5,3.75,0.155,0.228,8.22,74.8,89.3,16.5,14.2,4.96,2.01,1.68,1.07,0.744,0.0493,76,0.933
290,M12.5X11.6,11.6,3.4,12.5,3.5,0.155,0.211,8.29,74.8,80.3,15,12.8,4.86,1.51,1.37,0.864,0.667,0.0414,57.1,0.852
291,M12X11.8,11.8,3.47,12,3.07,0.177,0.225,6.81,62.5,72.2,14.3,12,4.56,1.09,1.15,0.709,0.559,0.05,37.7,0.731
292,M12X10.8,10.8,3.18,12,3.07,0.16,0.21,7.3,69.2,66.7,13.2,11.1,4.58,1.01,1.07,0.661,0.564,0.0393,35,0.732
293,M12X10,10,2.95,12,3.25,0.149,0.18,9.03,74.7,61.7,12.2,10.3,4.57,1.03,1.02,0.636,0.592,0.0292,35.9,0.768
294,M10X9,9,2.65,10,2.69,0.157,0.206,6.53,58.4,39,9.22,7.79,3.83,0.672,0.809,0.5,0.503,0.0314,16.1,0.65
295,M10X8,8,2.37,9.95,2.69,0.141,0.182,7.39,65,34.6,8.2,6.95,3.82,0.593,0.711,0.441,0.5,0.0224,14.2,0.646
296,M10X7.5,7.5,2.22,9.99,2.69,0.13,0.173,7.77,71,33,7.77,6.6,3.85,0.562,0.67,0.418,0.503,0.0187,13.5,0.646
297,M8X6.5,6.5,1.92,8,2.28,0.135,0.189,6.03,53.8,18.5,5.43,4.63,3.11,0.376,0.529,0.329,0.443,0.0184,5.73,0.563
298,M8X6.2,6.2,1.82,8,2.28,0.129,0.177,6.44,56.5,17.6,5.15,4.39,3.1,0.352,0.495,0.308,0.439,0.0156,5.38,0.56
299,M6X4.4,4.4,1.29,6,1.84,0.114,0.171,5.39,47,7.23,2.8,2.41,2.36,0.18,0.311,0.195,0.372,0.0099,1.53,0.467
300,M6X3.7,3.7,1.09,5.92,2,0.098,0.129,7.75,54.7,5.96,2.33,2.01,2.34,0.173,0.273,0.173,0.398,0.0053,1.45,0.499
301,M5X18.9,18.9,5.56,5,5,0.316,0.416,6.01,11.2,24.2,11.1,9.67,2.08,8.7,5.33,3.48,1.25,0.313,45.7,1.44
302,M4X6,6,1.75,3.8,3.8,0.13,0.16,11.9,22,4.72,2.74,2.48,1.64,1.47,1.18,0.771,0.915,0.0184,4.87,1.04
303,M4X4.08,4.08,1.27,4,2.25,0.115,0.17,6.62,26.4,3.53,2,1.77,1.67,0.325,0.453,0.289,0.506,0.0147,1.19,0.593
304,M3X2.9,2.9,0.914,3,2.25,0.09,0.13,8.65,23.6,1.5,1.12,1,1.28,0.248,0.344,0.221,0.521,0.0079,0.511,0.597
305,S24X121,121,35.5,24.5,8.05,0.8,1.09,3.69,25.9,3160,306,258,9.43,83,36.3,20.6,1.53,12.8,11400,1.94
306,S24X106,106,31.1,24.5,7.87,0.62,1.09,3.61,33.4,2940,279,240,9.71,76.8,33.4,19.5,1.57,10.1,10500,1.93
307,S24X100,100,29.3,24,7.25,0.745,0.87,4.16,27.8,2380,239,199,9.01,47.4,24,13.1,1.27,7.59,6350,1.66
308,S24X90,90,26.5,24,7.13,0.625,0.87,4.09,33.1,2250,222,187,9.21,44.7,22.4,12.5,1.3,6.05,5980,1.66
309,S24X80,80,23.5,24,7,0.5,0.87,4.02,41.4,2100,204,175,9.47,42,20.8,12,1.34,4.89,5620,1.67
310,S20X96,96,28.2,20.3,7.2,0.8,0.92,3.91,21.1,1670,198,165,7.71,49.9,24.9,13.9,1.33,8.4,4690,1.71
311,S20X86,86,25.3,20.3,7.06,0.66,0.92,3.84,25.6,1570,183,155,7.89,46.6,23.1,13.2,1.36,6.65,4370,1.71
312,S20X75,75,22,20,6.39,0.635,0.795,4.02,26.6,1280,152,128,7.62,29.5,16.7,9.25,1.16,4.59,2720,1.49
313,S20X66,66,19.4,20,6.26,0.505,0.795,3.93,33.5,1190,139,119,7.83,27.5,15.4,8.78,1.19,3.58,2530,1.49
314,S18X70,70,20.5,18,6.25,0.711,0.691,4.52,21.5,923,124,103,6.7,24,14.3,7.69,1.08,4.1,1800,1.42
315,S18X54.7,54.7,16,18,6,0.461,0.691,4.34,33.2,801,104,89,7.07,20.7,12.1,6.91,1.14,2.33,1550,1.42
316,S15X50,50,14.7,15,5.64,0.55,0.622,4.53,22.7,485,77,64.7,5.75,15.6,10,5.53,1.03,2.12,805,1.32
317,S15X42.9,42.9,12.6,15,5.5,0.411,0.622,4.42,30.4,446,69.2,59.4,5.95,14.3,9.08,5.19,1.06,1.54,737,1.31
318,S12X50,50,14.7,12,5.48,0.687,0.659,4.16,13.7,303,60.9,50.6,4.55,15.6,10.3,5.69,1.03,2.77,501,1.32
319,S12X40.8,40.8,11.9,12,5.25,0.462,0.659,3.98,20.6,270,52.7,45.1,4.76,13.5,8.86,5.13,1.06,1.69,433,1.3
320,S12X35,35,10.2,12,5.08,0.428,0.544,4.67,23.1,228,44.6,38.1,4.72,9.84,6.8,3.88,0.98,1.05,323,1.22
321,S12X31.8,31.8,9.31,12,5,0.35,0.544,4.6,28.3,217,41.8,36.2,4.83,9.33,6.44,3.73,1,0.878,306,1.21
322,S10X35,35,10.3,10,4.94,0.594,0.491,5.03,13.4,147,35.4,29.4,3.78,8.3,6.19,3.36,0.899,1.29,188,1.16
323,S10X25.4,25.4,7.45,10,4.66,0.311,0.491,4.75,25.6,123,28.3,24.6,4.07,6.73,4.99,2.89,0.95,0.603,152,1.14
324,S8X23,23,6.76,8,4.17,0.441,0.425,4.91,14.1,64.7,19.2,16.2,3.09,4.27,3.67,2.05,0.795,0.55,61.2,0.999
325,S8X18.4,18.4,5.4,8,4,0.271,0.425,4.71,22.9,57.5,16.5,14.4,3.26,3.69,3.18,1.84,0.827,0.335,52.9,0.985
326,S6X17.25,17.25,5.05,6,3.57,0.465,0.359,4.97,9.67,26.2,10.5,8.74,2.28,2.29,2.35,1.28,0.673,0.371,18.2,0.859
327,S6X12.5,12.5,3.66,6,3.33,0.232,0.359,4.64,19.4,22,8.45,7.34,2.45,1.8,1.86,1.08,0.702,0.167,14.3,0.831
328,S5X10,10,2.93,5,3,0.214,0.326,4.61,16.8,12.3,5.66,4.9,2.05,1.19,1.37,0.795,0.638,0.114,6.52,0.754
329,S4X9.5,9.5,2.79,4,2.8,0.326,0.293,4.77,8.33,6.76,4.04,3.38,1.56,0.887,1.13,0.635,0.564,0.12,3.05,0.698
330,S4X7.7,7.7,2.26,4,2.66,0.193,0.293,4.54,14.1,6.05,3.5,3.03,1.64,0.748,0.97,0.562,0.576,0.0732,2.57,0.676
331,S3X7.5,7.5,2.2,3,2.51,0.349,0.26,4.83,5.38,2.91,2.35,1.94,1.15,0.578,0.821,0.461,0.513,0.0896,1.08,0.638
332,S3X5.7,5.7,1.66,3,2.33,0.17,0.26,4.48,11,2.5,1.94,1.67,1.23,0.447,0.656,0.383,0.518,0.0433,0.838,0.605
333,HP18X204,204,60.2,18.3,18.1,1.13,1.13,8.01,12.1,3480,433,380,7.6,1120,191,124,4.31,29.5,82500,5.03
334,HP18X181,181,53.2,18,18,1,1,9,13.6,3020,379,336,7.53,974,167,108,4.28,20.7,70400,4.96
335,HP18X157,157,46.2,17.7,17.9,0.87,0.87,10.3,15.6,2570,327,290,7.46,833,143,93.1,4.25,13.9,59000,4.92
336,HP18X135,135,39.9,17.5,17.8,0.75,0.75,11.9,18.2,2200,281,251,7.43,706,122,79.3,4.21,9.12,49500,4.85
337,HP16X183,183,54.1,16.5,16.3,1.13,1.13,7.21,10.5,2510,349,304,6.81,818,156,100,3.89,26.9,48300,4.55
338,HP16X162,162,47.7,16.3,16.1,1,1,8.05,11.9,2190,306,269,6.78,697,134,86.6,3.82,18.8,40800,4.45
339,HP16X141,141,41.7,16,16,0.875,0.875,9.14,13.6,1870,264,234,6.7,599,116,74.9,3.79,12.9,34300,4.4
340,HP16X121,121,35.8,15.8,15.9,0.75,0.75,10.6,15.9,1590,226,201,6.66,504,97.6,63.4,3.75,8.35,28500,4.34
341,HP16X101,101,29.9,15.5,15.8,0.625,0.625,12.6,19,1300,187,168,6.59,412,80.1,52.2,3.71,5.07,22800,4.27
342,HP16X88,88,25.8,15.3,15.7,0.54,0.54,14.5,22,1110,161,145,6.56,349,68.2,44.5,3.68,3.45,19000,4.21
343,HP14X117,117,34.4,14.2,14.9,0.805,0.805,9.25,14.2,1220,194,172,5.96,443,91.4,59.5,3.59,8.02,19900,4.15
344,HP14X102,102,30.1,14,14.8,0.705,0.705,10.5,16.2,1050,169,150,5.92,380,78.8,51.4,3.56,5.39,16800,4.1
345,HP14X89,89,26.1,13.8,14.7,0.615,0.615,11.9,18.5,904,146,131,5.88,326,67.7,44.3,3.53,3.59,14200,4.05
346,HP14X73,73,21.4,13.6,14.6,0.505,0.505,14.4,22.6,729,118,107,5.84,261,54.6,35.8,3.49,2.01,11200,4
347,HP12X89,89,25.9,12.4,12.3,0.72,0.72,8.54,13.6,693,127,112,5.17,224,56,36.4,2.94,4.92,7640,3.42
348,HP12X84,84,24.6,12.3,12.3,0.685,0.685,8.97,14.2,650,120,106,5.14,213,53.2,34.6,2.94,4.24,7140,3.41
349,HP12X74,74,21.8,12.1,12.2,0.605,0.61,10,16.1,569,105,93.8,5.11,186,46.6,30.4,2.92,2.98,6160,3.38
350,HP12X63,63,18.4,11.9,12.1,0.515,0.515,11.8,18.9,472,88.3,79.1,5.06,153,38.7,25.3,2.88,1.83,5000,3.33
351,HP12X53,53,15.5,11.8,12,0.435,0.435,13.8,22.3,393,74,66.7,5.03,127,32.2,21.1,2.86,1.12,4080,3.29
352,HP10X57,57,16.7,9.99,10.2,0.565,0.565,9.03,13.9,294,66.5,58.8,4.18,101,30.3,19.7,2.45,1.97,2240,2.84
353,HP10X42,42,12.4,9.7,10.1,0.415,0.42,12,18.9,210,48.3,43.4,4.13,71.7,21.8,14.2,2.41,0.813,1540,2.77
354,HP8X36,36,10.6,8.02,8.16,0.445,0.445,9.16,14.2,119,33.6,29.8,3.36,40.3,15.2,9.88,1.95,0.77,578,2.26
355,C15X50,50,14.7,15,3.72,0.716,0.65,0,17.3,404,68.5,53.8,5.24,11,8.14,3.77,0.865,2.65,492,1.17
356,C15X40,40,11.8,15,3.52,0.52,0.65,0,23.8,348,57.5,46.5,5.43,9.17,6.84,3.34,0.883,1.45,410,1.15
357,C15X33.9,33.9,10,15,3.4,0.4,0.65,0,30.9,315,50.8,42,5.61,8.07,6.19,3.09,0.901,1.01,358,1.13
358,C12X30,30,8.81,12,3.17,0.51,0.501,0,19.4,162,33.8,27,4.29,5.12,4.32,2.05,0.762,0.861,151,1.01
359,C12X25,25,7.34,12,3.05,0.387,0.501,0,25.6,144,29.4,24,4.43,4.45,3.82,1.87,0.779,0.538,130,1
360,C12X20.7,20.7,6.08,12,2.94,0.282,0.501,0,35.2,129,25.6,21.5,4.61,3.86,3.47,1.72,0.797,0.369,112,0.983
361,C10X30,30,8.81,10,3.03,0.673,0.436,0,12.1,103,26.7,20.7,3.43,3.93,3.78,1.65,0.668,1.22,79.5,0.924
362,C10X25,25,7.35,10,2.89,0.526,0.436,0,15.5,91.1,23.1,18.2,3.52,3.34,3.18,1.47,0.675,0.687,68.3,0.911
363,C10X20,20,5.87,10,2.74,0.379,0.436,0,21.6,78.9,19.4,15.8,3.67,2.8,2.7,1.31,0.69,0.368,56.9,0.894
364,C10X15.3,15.3,4.48,10,2.6,0.24,0.436,0,34,67.3,15.9,13.5,3.88,2.27,2.34,1.15,0.711,0.209,45.5,0.868
365,C9X20,20,5.87,9,2.65,0.448,0.413,0,16.2,60.9,16.9,13.5,3.22,2.41,2.46,1.17,0.64,0.427,39.4,0.85
366,C9X15,15,4.4,9,2.49,0.285,0.413,0,25.4,51,13.6,11.3,3.4,1.91,2.04,1.01,0.659,0.208,31,0.825
367,C9X13.4,13.4,3.94,9,2.43,0.233,0.413,0,31.1,47.8,12.6,10.6,3.48,1.75,1.94,0.954,0.666,0.168,28.2,0.814
368,C8X18.75,18.75,5.51,8,2.53,0.487,0.39,0,13,43.9,13.9,11,2.82,1.97,2.17,1.01,0.598,0.434,25.1,0.8
369,C8X13.75,13.75,4.03,8,2.34,0.303,0.39,0,21,36.1,11,9.02,2.99,1.52,1.73,0.848,0.613,0.186,19.2,0.774
370,C8X11.5,11.5,3.37,8,2.26,0.22,0.39,0,28.9,32.5,9.63,8.14,3.11,1.31,1.57,0.775,0.623,0.13,16.5,0.756
371,C7X14.75,14.75,4.33,7,2.3,0.419,0.366,0,12.9,27.2,9.75,7.78,2.51,1.37,1.63,0.772,0.561,0.267,13.1,0.738
372,C7X12.25,12.25,3.59,7,2.19,0.314,0.366,0,17.3,24.2,8.46,6.92,2.59,1.16,1.42,0.696,0.568,0.161,11.2,0.722
373,C7X9.8,9.8,2.87,7,2.09,0.21,0.366,0,25.8,21.2,7.19,6.07,2.72,0.957,1.26,0.617,0.578,0.0996,9.15,0.698
374,C6X13,13,3.82,6,2.16,0.437,0.343,0,10.5,17.3,7.29,5.78,2.13,1.05,1.35,0.638,0.524,0.237,7.19,0.689
375,C6X10.5,10.5,3.07,6,2.03,0.314,0.343,0,14.7,15.1,6.18,5.04,2.22,0.86,1.14,0.561,0.529,0.128,5.91,0.669
376,C6X8.2,8.2,2.39,6,1.92,0.2,0.343,0,23,13.1,5.16,4.35,2.34,0.687,0.987,0.488,0.536,0.0736,4.7,0.643
377,C5X9,9,2.64,5,1.89,0.325,0.32,0,11.1,8.89,4.39,3.56,1.84,0.624,0.913,0.444,0.486,0.109,2.93,0.616
378,C5X6.7,6.7,1.97,5,1.75,0.19,0.32,0,19.1,7.48,3.55,2.99,1.95,0.47,0.757,0.372,0.489,0.0549,2.22,0.584
379,C4X7.25,7.25,2.13,4,1.72,0.321,0.296,0,8.41,4.58,2.84,2.29,1.47,0.425,0.695,0.337,0.447,0.0817,1.24,0.563
380,C4X6.25,6.25,1.84,4,1.65,0.247,0.296,0,10.9,4.19,2.55,2.1,1.51,0.374,0.623,0.312,0.451,0.0549,1.07,0.549
381,C4X5.4,5.4,1.58,4,1.58,0.184,0.296,0,14.7,3.85,2.29,1.92,1.56,0.312,0.565,0.277,0.444,0.0399,0.921,0.528
